,0
16,3
4579,2
3288,4
511,8
7578,3
6257,4
2349,5
730,5
8656,7
8364,9
158,8
4377,7
7472,3
3438,2
5652,7
2767,8
1404,0
5540,5
6866,0
6596,1
3583,2
2025,8
262,2
8064,4
1414,8
7086,5
4309,4
2520,8
8269,9
7132,7
2518,8
5732,5
6014,7
3691,5
1342,0
2375,5
6834,4
1443,6
741,5
963,7
3220,4
6099,7
4198,4
4917,9
3046,9
6830,4
1627,5
3064,8
4487,0
7742,9
7987,3
6550,0
4798,0
1944,0
7947,2
2552,2
43,0
3776,5
6356,9
1357,2
4716,0
2992,6
1784,6
29,0
4284,1
1617,4
8189,2
2571,8
1406,0
6477,9
1929,0
5773,8
7549,1
2097,4
1908,0
5727,5
7063,3
7725,8
7927,4
6050,7
6166,4
5098,6
1646,3
1946,0
3788,5
129,5
7285,4
2115,2
1153,4
8027,9
2468,8
7434,8
504,5
8315,3
4218,4
3951,0
7033,2
759,9
3802,7
500,5
7557,1
2006,6
6867,0
6595,3
2537,9
5493,2
3247,0
6029,7
7866,4
2126,0
4440,2
841,3
6625,4
3653,2
8644,9
7059,9
6039,7
194,3
3671,5
6298,5
5157,3
7475,9
6699,3
923,5
385,7
3432,2
2428,6
4271,4
6446,9
6551,0
1838,5
1723,5
6094,9
4618,2
1131,7
4502,0
1858,0
2845,2
7905,4
3846,5
868,1
4810,2
2747,8
1526,9
3822,7
8263,2
3454,9
7704,9
7083,5
5585,3
3949,0
7696,1
3445,9
4231,4
2977,6
1509,2
5406,0
3476,7
4748,0
8287,2
518,8
7243,9
2352,4
1770,3
2928,7
3375,7
8130,3
2683,8
4333,7
3466,7
6588,5
6203,8
5965,4
5085,3
8385,7
8019,9
5908,3
3907,0
640,5
6716,2
2436,3
7438,8
19,3
6837,4
5876,3
8654,9
2671,8
7199,0
7978,9
4587,9
3471,7
6156,4
2246,2
7281,4
3376,7
7037,9
4325,7
6222,9
5352,7
1877,0
6067,2
2141,9
3682,5
5122,2
5198,5
4843,2
2431,6
4565,2
5840,8
8389,7
5818,8
5112,6
7889,0
5305,8
6454,3
1603,9
7230,1
8058,9
149,5
7949,2
4713,0
5137,1
7134,7
4777,0
3044,9
2574,6
6306,5
2127,0
3561,9
6276,4
1572,9
1278,7
4503,0
157,8
6486,5
8596,2
7981,3
1318,9
3978,9
7350,5
2824,2
5293,8
8607,2
5519,3
8003,7
4254,4
2420,7
3370,2
1032,8
1979,9
4013,7
8496,5
9,1
69,0
1488,6
5206,5
5767,8
8040,4
6252,2
5935,3
309,7
2695,8
3361,2
8554,4
5088,3
2380,5
3664,2
5793,8
3268,4
8621,9
1525,9
2730,8
3257,0
2074,9
714,5
7436,8
4753,0
671,8
4433,2
132,5
3425,2
1039,8
5782,8
7653,7
6060,3
5893,5
8549,3
862,3
1514,6
2116,2
2988,6
1776,2
6653,3
2162,5
5843,8
4471,8
1862,0
5378,1
2318,5
2841,2
5380,5
5765,8
5159,3
5958,1
7126,7
8296,3
6161,4
6153,4
6369,9
2139,0
4620,2
6004,0
2119,2
6953,4
8384,7
5142,1
2267,9
2949,7
6097,3
4405,4
6010,0
8082,5
196,4
1125,7
1613,4
8443,8
3721,2
5972,4
8729,1
7067,0
6241,9
4550,4
8569,9
4458,2
7335,4
4007,7
4457,2
5368,7
3215,4
2203,9
698,5
8162,5
5118,6
7929,4
2646,8
2466,8
2145,9
8231,9
1923,0
2637,8
1977,4
7845,9
8700,4
1906,0
3567,3
677,3
3242,0
7763,0
2975,6
521,8
6389,9
188,7
7863,4
4607,5
6789,4
7633,0
236,5
165,8
1065,8
2031,8
3398,6
4024,7
2891,0
5528,3
3008,1
4816,2
7366,3
1879,0
3169,7
3384,7
2647,8
8349,3
753,5
6969,0
5721,5
7745,9
6442,9
5382,2
8413,5
8096,5
5494,2
8271,6
2805,2
920,1
1635,2
413,7
2210,1
8183,2
8104,0
8694,4
11,1
4345,7
7508,1
387,7
577,9
1664,9
3509,3
2788,0
420,3
1399,0
8161,5
5248,0
1154,4
7619,9
3233,0
7355,3
6579,2
7375,6
6965,0
5007,0
8533,5
1165,4
5392,0
7122,7
1034,8
6184,3
7882,0
4111,2
7332,4
2900,7
7831,8
1759,4
1773,2
5212,5
6058,3
4395,3
8464,9
8051,3
8442,8
5910,9
3778,5
3451,9
1134,3
5272,9
1729,5
1469,6
4726,3
4813,2
3305,4
107,3
3602,6
2610,6
5896,5
5620,8
4148,2
6373,8
2338,2
5259,3
6363,9
8281,4
7911,4
7245,9
5330,7
3587,7
3272,4
6458,3
2342,1
6220,9
6570,2
423,8
8678,9
7273,2
4689,7
7368,3
6536,4
2796,2
1314,9
1361,2
4393,7
2676,8
8431,9
