,0
6185,3
3499,9
7883,0
316,7
5617,8
528,8
4603,5
4232,4
8026,9
3999,7
6030,7
13,1
4711,0
8285,4
2439,8
7945,6
4997,0
7785,0
4079,0
120,8
5932,3
5733,5
5795,8
2483,8
7514,1
1692,5
799,3
3,2
5783,8
1965,7
3706,1
3219,4
8088,5
8414,8
3760,2
328,7
4788,0
604,3
227,5
512,8
4089,0
5989,3
2997,6
3222,4
6355,9
3811,7
2016,7
668,8
5746,1
3291,4
4015,7
6302,5
428,8
4875,2
1091,7
6847,0
5310,7
8711,2
1187,5
1808,6
8188,2
8564,9
2749,8
8052,3
3748,1
7143,7
5891,5
7798,0
8426,2
4729,3
4958,9
2174,5
3911,0
1386,0
1575,2
6678,3
6519,4
6945,4
5820,8
1660,9
2922,7
356,7
2620,2
8128,3
5132,3
6277,4
7130,7
5688,7
7127,7
6593,3
8036,9
1806,6
7721,8
1859,0
2857,4
508,8
8619,9
5906,3
8359,9
8709,2
2848,1
3679,5
4712,0
6902,4
5136,1
1982,0
4378,7
1812,6
6388,3
6213,0
1341,0
8280,4
6529,4
5476,2
117,8
5477,2
7082,5
1842,0
4001,7
7764,0
5921,2
2396,8
7217,3
4650,2
682,5
558,9
1902,0
2090,9
3391,7
3183,5
7382,6
7430,2
2908,7
4851,2
7330,4
186,7
4818,2
5186,5
2057,6
2020,7
8647,9
6002,0
307,4
5978,4
2663,8
4164,4
4072,0
3599,6
4277,4
7996,4
1029,8
1850,0
5627,8
5491,2
5959,1
4557,3
3076,7
6348,5
861,8
6349,5
3675,5
2376,5
3855,3
1483,6
3109,8
1429,6
703,5
1004,9
927,5
6167,4
4092,0
437,8
8122,0
5887,1
156,8
7842,9
8661,7
2086,9
2059,6
4999,0
7034,2
750,5
4752,0
4690,7
6321,5
4547,4
5376,7
7022,3
4795,0
7804,0
7046,9
4593,9
171,7
1037,8
2521,8
4141,3
5025,2
4835,9
2294,2
4912,9
1725,5
4,2
2121,1
5945,9
4117,2
337,7
1448,6
3771,5
658,8
6229,3
1994,0
7944,6
1921,0
1840,4
6782,2
5383,2
8717,9
3985,1
5372,7
5719,5
5753,8
1328,0
7139,7
2495,8
8144,3
8474,9
5203,5
4355,7
754,9
8398,3
7353,5
3852,5
4292,3
4863,2
83,0
4736,0
6976,3
2100,4
2684,8
4315,7
5296,8
7028,2
5635,8
8559,4
6231,6
2608,6
8213,3
3928,0
4556,3
5778,8
5164,6
5676,7
7977,9
950,5
2658,8
6214,9
597,2
5298,8
362,7
7614,3
6264,3
2556,2
5508,2
7623,9
3369,2
6689,9
7920,4
3179,5
4175,4
8205,2
832,3
7923,4
5317,7
8412,5
8004,7
8411,5
2923,7
6468,8
5875,7
6911,4
5455,3
8482,5
1624,4
6457,3
2227,9
3068,2
5670,7
2651,8
8597,2
5492,2
7321,2
3456,9
6970,0
2704,8
8594,3
8451,8
3204,5
5924,2
4605,5
7989,4
4683,7
4256,4
8526,8
8681,3
7640,0
141,5
8228,9
405,7
5919,2
7458,1
6500,2
970,0
943,3
2409,8
8507,5
5569,9
2634,8
1991,0
7608,3
1179,9
5766,8
5572,9
1939,0
4019,7
2148,3
398,7
3666,2
6181,6
5138,1
5709,4
8438,9
6055,3
2323,5
5452,4
4941,3
731,5
8127,0
4182,3
8141,3
7886,0
5642,5
3575,3
2010,7
5987,1
7565,1
5062,2
61,2
5120,6
8645,9
5278,3
1582,1
6459,3
8110,0
1707,5
3904,0
8212,2
3732,5
6917,4
565,9
7441,1
2029,8
6368,9
5111,6
4409,4
119,8
5852,8
8595,3
8060,4
5803,8
5143,1
1143,9
1540,4
5542,5
768,9
7398,4
8028,9
5864,4
6991,2
2545,2
4625,1
1675,5
101,3
8345,2
480,5
5179,3
495,8
7747,3
3395,7
1442,6
1949,9
8527,8
2301,3
7215,0
4715,0
1742,5
5280,3
5960,1
6880,8
7694,1
2847,1
4186,9
6741,0
152,5
7331,4
5579,9
1905,0
3344,5
7171,8
7115,7
1268,6
2741,8
2314,5
4559,2
6124,3
2713,8
2743,8
4299,4
6909,4
7943,6
1496,3
2481,8
4417,3
4042,2
6636,5
7689,1
6700,3
4499,0
7962,2
5445,3
5805,8
6731,2
6740,1
2641,8
8294,2
8002,4
608,7
2264,9
2185,5
2419,7
656,8
7801,0
8444,8
889,4
560,3
2022,8
1456,6
3479,7
1279,7
5204,5
7606,3
5346,7
7174,4
8436,9
5785,8
3728,3
5094,3
2248,2
6338,5
1169,0
6390,9
6984,3
6331,5
6576,2
6346,5
8084,5
7294,4
5645,7
7533,1
7076,5
2098,4
6665,3
811,9
77,0
736,5
6253,3
8098,5
3517,9
1116,7
4080,0
3245,0
4039,2
2271,9
7817,8
8506,5
7385,6
6381,8
5755,8
1763,4
4308,4
4898,2
8422,2
3087,7
5501,2
1105,7
2944,7
2524,8
8593,3
193,3
4354,7
5752,1
6218,9
2095,3
4686,7
4940,9
5400,0
1400,0
2592,6
3281,4
3121,9
2035,8
7460,4
946,5
8539,5
3460,9
5031,2
530,8
148,5
6173,4
461,5
3648,2
6112,7
4312,4
3094,7
5662,7
2852,4
7044,9
1244,4
3079,7
4075,0
618,9
4885,3
1461,6
3259,0
1659,9
8175,3
4789,0
7274,2
5680,7
6211,3
672,8
8077,4
4741,0
5506,2
3072,7
1302,7
1665,9
4984,5
4931,9
6315,5
7892,0
3349,9
3113,8
7324,9
1622,4
8112,0
28,0
6221,9
6932,0
5631,8
723,5
4915,9
6120,3
5996,3
8449,8
7907,4
3795,5
2938,7
2889,0
4724,9
2204,9
33,0
108,3
2950,7
3217,4
3086,7
663,8
813,9
7015,2
5386,2
5264,3
5052,2
4058,5
7553,1
2974,6
1350,2
6319,5
5977,4
686,5
5496,2
5522,3
7093,5
6657,5
6164,4
4026,7
2930,7
2220,9
5172,5
2573,6
6001,0
3388,7
3792,5
3779,5
3012,1
2452,8
5954,1
531,8
8719,9
5943,9
5276,3
5716,3
7895,0
36,0
131,5
7858,3
6496,2
1737,5
6842,9
1197,5
2018,7
3894,0
1855,0
6255,3
4876,2
6720,9
1218,4
1466,6
8169,4
6555,3
70,0
6726,1
7205,0
5360,7
2980,6
8037,4
631,5
5290,8
4227,4
5173,5
6728,2
5202,5
3009,1
7219,3
6544,2
3668,5
5578,9
3618,6
4188,9
5009,0
8159,2
6419,8
5443,3
4989,5
863,3
6968,0
4868,2
4229,4
3898,0
2241,9
8079,4
6886,8
6308,5
4278,1
1087,3
1387,0
4768,0
1643,3
8376,7
3193,3
7714,8
7811,3
8423,2
3279,4
3955,0
3292,4
4261,4
6113,7
6663,3
5586,3
675,5
5426,2
539,9
1590,4
3804,7
719,5
670,8
1224,4
7626,0
4456,2
8288,2
2312,3
4953,9
2112,2
571,2
3926,0
2582,2
4376,7
5824,8
3603,6
477,5
973,0
2883,0
2277,2
6199,3
7133,7
5214,5
2881,3
4488,0
5487,2
7110,7
7029,2
7406,4
3813,7
6594,3
7604,3
1023,5
3394,7
4892,2
6353,9
1661,9
2538,9
204,4
4344,7
3523,9
3101,2
7559,1
8092,5
3643,3
7079,5
1597,9
137,5
1372,2
8723,1
3314,4
